Объект1_Бинарный,Объект1_Форма,Объект1_Направление,Объект1_Угол,Объект2_Бинарный,Объект2_Форма,Объект2_Направление,Объект2_Угол,Коллизия
0,Куб,Назад,231.4504232390583,0,Куб,Право,0.83367307994616,Да
0,Пирамида,Вперед,319.96908070314817,1,Пирамида,Вперед,224.86914109111748,Да
1,Куб,Вперед,228.60232387705088,1,Сфера,Лево,167.24628478401314,Нет
0,Пирамида,Лево,69.37224215362762,0,Сфера,Право,275.285794178269,Нет
1,Куб,Лево,149.68553881129722,0,Сфера,Назад,184.39875467922954,Да
0,Сфера,Назад,169.82572011720188,1,Пирамида,Право,155.9794936801079,Нет
0,Сфера,Вперед,121.71766859502542,1,Куб,Лево,87.53030973504035,Да
0,Куб,Лево,131.93127153756478,1,Пирамида,Вперед,333.6878278306482,Нет
1,Пирамида,Право,296.6423181222189,0,Куб,Вперед,273.98434074240987,Нет
1,Сфера,Право,51.90080729656276,1,Сфера,Назад,110.89042757259462,Да
1,Куб,Лево,99.63488597730425,1,Куб,Право,23.163259934293436,Нет
0,Куб,Право,62.731291229137895,0,Куб,Вперед,75.02347665284388,Да
1,Куб,Право,210.6097220580673,1,Пирамида,Назад,5.176574945052264,Да
0,Пирамида,Назад,218.07091340656328,1,Сфера,Назад,270.758850603199,Нет
1,Сфера,Вперед,262.64384073304683,0,Пирамида,Лево,141.82878122634793,Да
1,Пирамида,Лево,321.82962566924317,0,Сфера,Лево,301.4922054366972,Да
0,Пирамида,Назад,147.31308184311317,1,Сфера,Вперед,31.76372598211204,Нет
0,Куб,Лево,73.04249140681937,0,Куб,Право,198.82449623928784,Да
1,Сфера,Вперед,352.49921747955113,1,Куб,Назад,270.1087382423648,Да
0,Сфера,Право,129.9611389766698,0,Куб,Право,321.20865289968816,Нет
1,Сфера,Назад,301.103937335504,0,Пирамида,Право,65.72039569406176,Нет
0,Куб,Вперед,202.14237549480058,0,Сфера,Право,48.06311999754926,Нет
0,Куб,Вперед,219.31263117879558,0,Сфера,Лево,30.783178132214847,Да
1,Куб,Вперед,190.9285537223023,1,Пирамида,Лево,336.210209773973,Нет
1,Куб,Вперед,44.1139510446489,0,Пирамида,Лево,273.0139526181526,Нет
1,Пирамида,Лево,19.05332448305195,0,Сфера,Лево,155.85700351011985,Да
1,Куб,Назад,74.23462773272755,0,Куб,Вперед,197.63505952942924,Нет
1,Куб,Лево,48.7066807678396,1,Сфера,Право,254.02673746737707,Да
1,Сфера,Назад,12.563923300401822,1,Пирамида,Право,310.26615208563993,Нет
1,Куб,Лево,301.9666516144187,1,Пирамида,Лево,34.44121252171743,Да
1,Куб,Право,61.203541347925764,1,Пирамида,Лево,235.24343667004408,Да
0,Куб,Право,270.32362472878947,0,Сфера,Право,196.38851942439027,Да
