Объект1_Бинарный,Объект1_Форма,Объект1_Направление,Объект1_Угол,Объект2_Бинарный,Объект2_Форма,Объект2_Направление,Объект2_Угол,Коллизия
1,Куб,Назад,303.0664771098253,0,Куб,Назад,157.63794297508116,Нет
0,Пирамида,Вперед,44.20792422302447,1,Куб,Назад,147.47261033515002,Да
0,Куб,Назад,44.408858154854336,0,Пирамида,Вперед,28.991002887527657,Нет
1,Куб,Назад,194.6781830572468,0,Пирамида,Лево,37.3831991949454,Да
0,Куб,Назад,64.50312292113802,0,Сфера,Лево,293.20751034308216,Да
1,Куб,Лево,37.706657754550726,1,Пирамида,Право,139.99727392611732,Да
0,Сфера,Вперед,209.11491187892386,1,Куб,Назад,294.22767014065056,Да
1,Куб,Вперед,30.755285620212007,1,Сфера,Лево,185.69052748794988,Нет
0,Куб,Лево,143.93358555905846,1,Пирамида,Право,64.10250350174813,Нет
0,Сфера,Право,302.0631786352202,1,Пирамида,Назад,169.57811713955164,Да
1,Пирамида,Вперед,124.21038149078342,1,Пирамида,Лево,41.84850054204583,Нет
1,Сфера,Право,156.03676916739963,0,Куб,Вперед,166.4348358400801,Да
0,Куб,Право,126.15576032261363,1,Куб,Право,19.428859605822943,Нет
0,Пирамида,Лево,212.18006939455296,1,Куб,Лево,357.4418832441104,Да
1,Куб,Назад,68.66949910774852,0,Сфера,Вперед,83.01076107100067,Да
0,Куб,Назад,73.2360591252182,0,Сфера,Назад,2.6997121478862773,Нет
1,Пирамида,Лево,123.12160789436564,0,Куб,Право,116.85228672522382,Да
0,Куб,Вперед,237.65307242929384,0,Сфера,Назад,101.01306882862,Нет
0,Куб,Право,16.423043932016142,1,Пирамида,Лево,274.5792777500885,Нет
1,Пирамида,Назад,341.3600341742946,0,Пирамида,Право,282.25824519742014,Да
1,Пирамида,Вперед,64.39698080891661,0,Сфера,Лево,98.49939437351985,Нет
0,Пирамида,Право,77.77285989122917,1,Сфера,Лево,351.55356998058573,Да
0,Пирамида,Право,124.44221125351082,1,Сфера,Право,260.28710669145653,Нет
0,Сфера,Право,36.837551893668525,1,Куб,Назад,46.564903449510254,Нет
0,Сфера,Лево,204.1347850555785,0,Сфера,Назад,217.5959163160562,Нет
0,Пирамида,Лево,276.32187143876513,0,Сфера,Назад,34.00565590304463,Да
1,Куб,Право,175.84127175902458,0,Куб,Лево,225.37563869000485,Да
0,Сфера,Лево,275.87479908922097,1,Пирамида,Назад,161.28208612664764,Да
1,Пирамида,Вперед,45.712315553753676,0,Куб,Назад,80.36601769978228,Нет
1,Сфера,Право,27.87896502147415,0,Куб,Лево,22.152738251195213,Да
1,Сфера,Назад,104.81861267914525,1,Сфера,Назад,114.49871454468617,Нет
1,Куб,Вперед,172.08379664188504,1,Пирамида,Назад,147.3068765324254,Да
0,Куб,Назад,110.92572022319575,0,Пирамида,Назад,47.60189498522702,Нет
1,Пирамида,Вперед,50.557509997240196,0,Пирамида,Лево,19.98009052080693,Нет
1,Куб,Назад,61.897366383800204,0,Пирамида,Лево,42.80100365864869,Да
1,Куб,Назад,318.9590219089418,1,Пирамида,Назад,277.6929891506722,Нет
1,Куб,Вперед,1.124407841134314,1,Куб,Лево,60.70635194884708,Да
1,Сфера,Назад,344.94201966159704,0,Сфера,Вперед,336.20650822319266,Нет
1,Сфера,Право,49.66234575308525,1,Куб,Вперед,304.3326706811396,Нет
1,Пирамида,Право,67.80346142995998,0,Пирамида,Право,112.31044400790988,Нет
1,Пирамида,Лево,162.93797681130485,0,Куб,Вперед,327.46268612905885,Да
0,Пирамида,Назад,319.1066561418256,0,Сфера,Лево,8.405012673515383,Нет
0,Сфера,Вперед,166.99022449250737,1,Сфера,Назад,81.378812783573,Нет
0,Куб,Лево,225.5843268578155,0,Пирамида,Лево,80.94647889148263,Нет
0,Куб,Право,275.05232225558206,0,Пирамида,Право,70.72329344066178,Да
1,Куб,Назад,145.16729197109453,1,Пирамида,Назад,235.30818256892408,Да
0,Сфера,Назад,14.469281319119546,1,Пирамида,Вперед,57.76168088044781,Да
0,Сфера,Лево,104.82296863413005,1,Сфера,Право,354.28308109020804,Да
1,Куб,Вперед,310.17753698852596,0,Куб,Лево,207.40364121308247,Да
1,Пирамида,Лево,53.525606441369455,1,Пирамида,Право,189.78391893765695,Да
0,Пирамида,Право,38.10431791507377,1,Куб,Назад,42.246965701993034,Да
1,Сфера,Лево,250.56421415907124,0,Сфера,Назад,228.86438574195682,Нет
0,Пирамида,Вперед,189.82761333548132,1,Сфера,Право,201.12876372872046,Нет
1,Сфера,Право,297.76521047903486,0,Сфера,Лево,31.88642280160003,Нет
0,Куб,Назад,99.20287313122057,1,Сфера,Назад,315.84616992995603,Нет
1,Куб,Право,316.6407634586193,0,Пирамида,Лево,307.9143729369622,Да
0,Пирамида,Вперед,142.6552145490726,0,Сфера,Вперед,294.6399267625207,Нет
0,Пирамида,Лево,54.099953074352015,1,Сфера,Право,197.3862731736645,Нет
1,Сфера,Назад,19.49012744335929,0,Куб,Лево,243.79539869431068,Нет
1,Куб,Право,56.31790661918189,0,Пирамида,Право,161.71544669342106,Нет
1,Куб,Назад,280.16063986979003,1,Сфера,Право,97.45580161225665,Да
0,Пирамида,Право,235.770357802876,1,Куб,Вперед,83.44847841735158,Нет
1,Пирамида,Лево,306.78042064612697,1,Сфера,Право,328.19551500525336,Да
0,Сфера,Лево,320.1218784255641,1,Пирамида,Назад,291.11421093002957,Да
1,Пирамида,Назад,289.4747183172671,1,Сфера,Вперед,357.6218080038678,Нет
0,Пирамида,Лево,163.50623754497258,1,Куб,Лево,10.603236549890912,Нет
0,Куб,Право,1.029297341437978,0,Куб,Назад,342.14168872962625,Нет
0,Сфера,Назад,320.6145213099552,0,Сфера,Лево,9.930160332474642,Да
1,Сфера,Право,209.8609305511958,1,Куб,Право,149.59080355829516,Нет
