Объект1_Бинарный,Объект1_Форма,Объект1_Направление,Объект1_Угол,Объект2_Бинарный,Объект2_Форма,Объект2_Направление,Объект2_Угол,Коллизия
1,Пирамида,Лево,309.98560683486266,1,Куб,Право,179.98798240128068,Нет
1,Сфера,Вперед,110.95866217394158,1,Куб,Лево,174.12561532518473,Да
0,Сфера,Назад,224.6623788663612,0,Пирамида,Право,224.3932197159421,Да
0,Сфера,Назад,249.1125669984701,0,Сфера,Назад,62.997985385324014,Нет
1,Куб,Назад,42.373528436622394,1,Куб,Лево,45.89407780925338,Нет
1,Пирамида,Лево,46.935252217709284,1,Сфера,Назад,338.0037230565662,Нет
0,Сфера,Вперед,60.44826181017814,1,Куб,Вперед,248.03453957236584,Нет
1,Сфера,Назад,153.26802283841778,0,Пирамида,Назад,95.61744873148236,Да
1,Куб,Вперед,186.65579041700576,1,Куб,Право,191.97431754701387,Да
1,Пирамида,Назад,314.20236889692967,1,Сфера,Лево,295.47322182751464,Нет
0,Куб,Лево,249.21401116470756,0,Куб,Лево,352.0859358312582,Нет
0,Куб,Право,14.207777744450429,1,Куб,Лево,282.0195874441475,Нет
0,Пирамида,Право,111.29352888609309,0,Куб,Вперед,47.93063429289146,Да
0,Сфера,Лево,330.76677937367043,0,Пирамида,Лево,296.02052299633993,Нет
0,Пирамида,Вперед,293.6742194163876,1,Куб,Назад,187.71344129619405,Нет
1,Сфера,Назад,12.772156292832694,0,Сфера,Вперед,212.28641404863862,Нет
1,Пирамида,Лево,225.78355114641533,1,Куб,Право,173.6695677465726,Нет
1,Куб,Лево,231.38254397837662,1,Куб,Лево,157.45147212495849,Нет
1,Сфера,Назад,90.94800418659185,0,Куб,Вперед,350.22821124577735,Нет
0,Пирамида,Лево,120.37861530298082,0,Куб,Назад,236.40828908023258,Да
1,Пирамида,Вперед,350.3324819449977,0,Куб,Вперед,269.6301286786841,Нет
0,Пирамида,Лево,230.14367268616832,0,Куб,Лево,203.4019850561217,Нет
1,Пирамида,Лево,41.19218969834087,0,Куб,Право,69.02458020588125,Нет
0,Сфера,Лево,280.28355788753817,0,Пирамида,Назад,117.5762416657345,Нет
0,Сфера,Вперед,10.283875461548874,1,Куб,Лево,93.67419584890007,Да
0,Сфера,Право,119.08115787743175,1,Пирамида,Лево,297.89636125191885,Нет
0,Пирамида,Лево,273.8579657510985,0,Сфера,Право,279.72025464112346,Да
0,Пирамида,Лево,105.0970697073723,0,Пирамида,Назад,17.18587093896438,Да
0,Куб,Вперед,47.579490831089444,1,Куб,Назад,254.3435378711084,Нет
0,Куб,Лево,49.46363182411473,1,Куб,Лево,189.05962279316316,Да
1,Пирамида,Назад,314.76364354163724,0,Пирамида,Назад,102.78796945130675,Да
1,Куб,Назад,342.459429859045,0,Куб,Вперед,26.748122912811702,Да
0,Куб,Право,252.5886999158406,1,Пирамида,Вперед,184.05782007071386,Нет
0,Куб,Назад,111.7301945169742,0,Куб,Назад,317.4536930901813,Да
1,Куб,Право,203.260958496147,1,Пирамида,Право,94.77061666124519,Нет
1,Куб,Лево,187.26494095650693,1,Куб,Лево,221.91816852677394,Да
1,Сфера,Лево,234.48034998237384,0,Пирамида,Право,64.96199594935294,Да
0,Пирамида,Лево,52.31396465245774,0,Пирамида,Вперед,68.64688326217123,Нет
1,Куб,Вперед,93.84644160036792,0,Сфера,Назад,32.40894786245157,Нет
1,Куб,Назад,226.53802059528346,1,Сфера,Вперед,325.81427277845546,Нет
1,Пирамида,Вперед,166.79150648892883,0,Куб,Вперед,201.40779716602603,Нет
0,Пирамида,Право,185.12612486912556,0,Пирамида,Вперед,79.52994754454501,Да
0,Сфера,Назад,2.8835848948372655,0,Сфера,Назад,38.01883089079975,Да
1,Куб,Лево,120.96734928032838,1,Пирамида,Назад,262.95690175540034,Нет
0,Пирамида,Право,217.56643421426827,1,Сфера,Назад,301.4455643700608,Нет
0,Куб,Вперед,184.61701663231736,0,Сфера,Лево,157.7558501711232,Нет
0,Куб,Право,71.87665592563425,0,Пирамида,Назад,210.9993460340523,Да
1,Сфера,Лево,279.91842213478736,1,Сфера,Вперед,148.04865831216026,Нет
1,Сфера,Вперед,19.08911223796416,0,Куб,Вперед,241.75182510137216,Нет
0,Куб,Вперед,185.77039735188043,0,Сфера,Назад,132.40666801452184,Нет
0,Куб,Лево,57.20588854437941,1,Пирамида,Право,27.736245325744207,Нет
1,Пирамида,Назад,323.9193931084331,1,Куб,Вперед,309.98838957431724,Да
0,Пирамида,Назад,138.03909457161396,0,Пирамида,Лево,190.3644325338913,Да
0,Сфера,Лево,38.83291528623812,0,Сфера,Назад,218.80363273341536,Да
0,Куб,Лево,83.3643292046695,1,Куб,Право,141.6102711259913,Да
1,Куб,Лево,284.6228596595909,1,Куб,Вперед,341.0776745665196,Да
1,Пирамида,Назад,119.61012753810202,1,Пирамида,Вперед,311.7119514964757,Да
1,Пирамида,Назад,93.56446888424172,0,Сфера,Назад,124.43447611860479,Нет
0,Пирамида,Лево,282.0860253153099,1,Сфера,Право,15.801354888686795,Нет
0,Сфера,Лево,213.02186300431578,1,Пирамида,Назад,234.19935762662686,Нет
0,Сфера,Лево,304.02182193170034,1,Пирамида,Лево,207.13001401198676,Нет
