Объект1_Бинарный,Объект1_Форма,Объект1_Направление,Объект1_Угол,Объект2_Бинарный,Объект2_Форма,Объект2_Направление,Объект2_Угол,Коллизия
1,Пирамида,Лево,80.28841309314053,1,Сфера,Вперед,198.72706285894364,Нет
1,Сфера,Право,126.59144629562304,1,Пирамида,Назад,331.2328734149371,Да
1,Сфера,Право,255.87271504455663,1,Куб,Лево,347.5545724977441,Нет
0,Сфера,Право,231.44090800264206,1,Сфера,Лево,224.71826291815412,Да
1,Сфера,Назад,260.1998989619469,1,Сфера,Вперед,309.12634753140134,Нет
0,Куб,Назад,67.701565097904,0,Куб,Право,293.93009538120646,Да
1,Сфера,Назад,323.49307730487715,1,Куб,Вперед,294.7433828989061,Нет
1,Пирамида,Право,220.4743999996606,0,Пирамида,Лево,343.6293042683234,Нет
1,Сфера,Право,34.4334390622697,0,Куб,Назад,46.801106753840976,Да
1,Куб,Назад,262.52245677687677,0,Куб,Назад,158.29076496111364,Да
0,Пирамида,Право,339.4055998449352,1,Пирамида,Назад,103.22652382568762,Нет
0,Сфера,Право,40.350240432607094,0,Сфера,Вперед,341.05457543694394,Да
1,Пирамида,Право,173.94201036268822,1,Сфера,Вперед,81.21834988687381,Нет
1,Куб,Лево,332.5898367690963,1,Пирамида,Вперед,220.77743273818209,Нет
1,Пирамида,Право,11.6973675516568,1,Куб,Право,228.77063304287972,Да
1,Куб,Вперед,182.2638047999081,1,Сфера,Лево,26.65998191744778,Нет
1,Пирамида,Вперед,112.09444483084198,0,Сфера,Вперед,292.40394027677576,Да
0,Куб,Назад,7.911966936651935,0,Куб,Лево,6.9344788435515525,Нет
0,Пирамида,Назад,164.56862126413512,1,Сфера,Вперед,11.305450762480822,Нет
1,Пирамида,Назад,320.53872162020656,1,Куб,Право,29.090051012921453,Нет
1,Куб,Вперед,39.24762918144738,1,Куб,Право,225.90641642290925,Нет
1,Куб,Лево,192.8383925562328,1,Куб,Лево,298.8699809099039,Нет
1,Сфера,Лево,75.4317696074857,0,Куб,Вперед,254.98550376857708,Нет
0,Сфера,Лево,278.7911161497675,0,Куб,Право,60.21893912401345,Да
