Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro)
67,466,2011,4,195000,1800,2,0,7750
55,314,2014,11,135000,1500,0,1,8550
55,369,2012,11,110000,1500,0,1,6550
51,122,2006,11,200000,1600,3,1,4100
45,628,2000,5,300000,2200,0,1,3490
70,446,2010,11,290000,1390,4,1,5600
70,592,2010,9,220000,2400,0,0,17000
45,541,1991,10,240000,2300,4,1,2850
45,243,2010,10,210000,2200,0,0,11400
70,308,2007,11,238371,1400,4,0,5000
70,309,2010,4,150000,1200,4,1,5500
71,643,2012,3,180000,2400,0,0,15900
50,484,2011,3,251000,1500,0,1,8300
31,399,2005,11,383000,1500,0,1,3200
5,92,2009,4,248000,2000,0,0,9299
45,243,2004,11,315000,1800,3,1,6900
24,52,1992,10,68000,2445,4,1,2222
55,402,2011,11,171000,1500,0,1,5700
45,243,2014,10,275500,2200,0,0,18350
42,389,2017,10,157000,1998,2,0,17800
20,183,2008,4,113486,1998,3,0,4495
5,1,1993,10,235000,2000,4,1,2950
70,446,2012,10,179000,1400,3,0,9800
6,638,2015,3,169777,2000,0,0,16888
51,616,1994,10,340000,1800,4,1,1500
70,446,2010,11,228000,1400,3,0,5700
67,124,2010,10,185000,1400,0,1,6500
50,484,2009,4,200415,1500,0,1,6200
6,43,2016,6,136000,2000,0,0,13200
16,381,2014,10,195000,1200,3,1,3999
16,242,2015,9,170000,1500,0,1,8800
70,308,2010,11,191500,1400,4,1,5700
70,446,1991,10,200000,1800,4,1,1150
6,43,2004,10,250000,2000,0,1,4499
50,484,2015,3,158000,1500,0,1,11750
52,44,2018,3,132000,1500,0,0,16500
55,402,2005,11,11111,1500,0,1,3200
50,484,2013,9,180000,1500,0,1,8999
23,598,2012,6,151658,1800,0,1,3899
55,532,2015,5,185480,1461,0,1,7550
70,456,2007,4,305988,1400,0,1,3250
6,67,2014,10,231250,2000,0,0,18000
69,36,2004,6,12000,1700,4,1,1800
6,67,1998,10,11111,2500,4,1,3200
50,474,2014,4,87100,1200,4,1,7950
67,128,2000,10,420000,1600,3,1,2999
30,174,2002,11,275100,2000,4,1,5900
6,67,2015,10,180236,2000,0,0,21500
30,174,2010,3,183000,2200,0,1,12999
50,427,2011,4,195000,1500,0,1,5250
51,122,2010,4,190000,1300,0,1,6500
61,499,2016,11,116000,1598,4,0,10300
70,542,2006,6,250000,2000,0,1,6900
50,484,2015,3,149000,1200,4,0,12500
61,570,2016,10,170000,2000,0,0,17490
67,217,2006,11,256000,1400,0,1,5490
44,602,2002,9,255000,2000,4,1,3990
13,630,2011,4,190000,1400,5,0,9150
70,446,2002,11,270000,1800,4,1,2550
6,67,2000,10,254604,2500,4,1,4500
55,402,2009,11,165000,1500,0,1,4999
67,155,2017,3,115000,1800,2,0,17999
45,243,2012,10,150000,2500,0,0,14490
55,206,2006,4,280000,1461,0,1,4299
15,159,2012,4,145000,1400,0,0,6899
5,96,1997,10,29800,2400,3,1,2750
23,291,2013,10,178000,2000,2,0,9290
67,466,2014,10,140000,800,5,0,11200
70,620,1993,10,300000,1800,4,1,1700
55,188,2017,3,129000,1500,0,0,10990
40,177,2012,4,193000,1800,2,0,10950
71,643,2010,9,202000,2400,0,0,14750
16,240,2013,6,209000,1500,0,1,5750
31,664,2010,4,145000,1400,4,1,4750
40,177,2012,4,194000,1800,2,0,9999
71,645,2008,9,249000,2400,0,1,11500
31,304,2008,4,142000,1100,4,1,3499
45,89,2005,4,260000,1500,3,0,4750
45,151,2002,2,240000,2300,4,1,3499
34,650,2012,10,120000,2200,0,0,15999
45,243,2010,10,182000,1800,4,0,11750
61,429,2005,11,300000,2000,4,1,4999
51,122,2008,11,310000,1300,0,1,4850
61,570,2014,10,186000,1600,0,0,12300
70,117,2011,7,150000,2000,0,1,12800
45,628,2000,6,258000,2200,0,0,2999
50,484,2016,3,151000,1500,0,1,13890
55,402,2010,11,257110,1500,0,1,4999
23,409,2016,10,167000,1500,0,1,12990
67,155,2018,3,114000,1800,2,0,16750
50,484,2017,3,157600,1500,0,1,11990
67,124,2014,11,190000,1800,2,0,8990
67,155,2017,3,119000,1800,2,0,18790
52,44,2018,3,145000,1500,0,0,16790
55,352,2016,3,150200,1500,0,0,13450
40,419,2015,9,149000,2500,2,0,21750
70,446,2006,10,216000,2000,4,0,5350
32,477,2016,3,88000,1500,0,0,15790
70,446,2007,11,320000,1600,3,1,5999
31,399,2006,4,298000,1500,0,1,2999
30,203,2017,4,27138,1500,4,0,13300
55,352,2016,3,140000,1500,0,0,12400
61,429,2012,10,166000,1600,0,0,8990
61,570,2009,10,223000,2000,0,0,8990
67,217,2006,11,198563,1400,0,0,5350
39,287,2000,9,230000,2000,0,1,2750
70,446,1995,11,250369,1800,4,1,2700
36,393,2005,10,250632,2000,3,1,2690
60,338,1998,1,300000,1900,0,1,1450
61,271,2012,6,165500,1200,0,1,5100
48,438,2011,9,248000,2000,4,0,9900
23,280,2016,11,170000,1499,0,1,8890
55,402,2008,11,245000,1500,0,1,3600
30,203,1999,11,290000,1500,4,1,1800
55,207,2007,10,211000,1400,4,1,2900
5,94,2012,10,166700,2000,4,0,10200
5,93,2016,4,145000,1400,1,0,16450
