iter	RMSE
0	4756.013488
1	4430.058364
2	4139.554766
3	3883.055773
4	3663.909334
5	3468.251512
6	3299.286451
7	3147.739251
8	3013.327252
9	2899.336249
10	2802.392575
11	2718.7374
12	2646.064344
13	2580.370864
14	2527.038478
15	2475.765777
16	2437.211543
17	2399.392498
18	2362.490511
19	2329.95171
20	2303.773079
21	2280.788898
22	2260.366072
23	2242.443755
24	2226.414128
25	2210.158452
26	2198.026197
27	2183.118528
28	2171.36924
29	2161.799097
30	2151.840865
31	2144.999786
32	2136.127714
33	2129.7938
34	2122.402521
35	2114.145934
36	2107.775011
37	2102.741024
38	2098.079341
39	2092.142507
40	2085.245418
41	2080.651183
42	2074.442922
43	2068.559844
44	2064.452744
45	2060.609652
46	2056.082007
47	2053.047871
48	2050.043176
49	2046.193653
50	2043.038325
51	2038.422767
52	2035.594123
53	2032.953711
54	2028.494848
55	2025.730654
56	2021.276803
57	2017.641576
58	2014.903675
59	2011.631632
60	2008.068902
61	2004.351559
62	2002.405803
63	2000.04134
64	1996.812091
65	1994.291386
66	1990.663492
67	1988.688962
68	1986.389582
69	1982.723424
70	1979.237148
71	1975.854348
72	1973.256996
73	1971.58144
74	1969.163875
75	1966.86844
76	1964.026229
77	1960.539022
78	1956.315375
79	1954.741423
80	1951.51228
81	1949.500745
82	1948.424772
83	1946.117692
84	1944.082284
85	1942.739425
86	1940.338407
87	1937.962105
88	1934.970572
89	1932.605928
90	1929.352781
91	1927.659666
92	1925.411455
93	1923.323798
94	1918.244895
95	1916.768997
96	1915.503878
97	1913.28857
98	1911.354226
99	1909.453016
100	1907.111447
101	1905.774445
102	1902.673393
103	1900.363353
104	1898.527451
105	1897.01583
106	1895.801987
107	1894.247267
108	1893.281898
109	1890.64334
110	1889.074221
111	1889.004193
112	1886.383978
113	1885.031249
114	1883.231794
115	1883.072657
116	1882.463081
117	1882.414978
118	1880.434304
119	1878.849848
120	1876.454268
121	1874.194116
122	1872.312708
123	1870.326299
124	1868.196488
125	1866.554271
126	1865.51434
127	1864.710838
128	1864.192645
129	1862.555073
130	1860.851512
131	1860.233251
132	1859.753754
133	1858.065717
134	1855.574336
135	1855.117574
136	1852.967598
137	1850.639756
138	1849.698762
139	1848.368284
140	1847.216766
141	1847.189485
142	1847.12584
143	1846.428729
144	1844.387993
145	1842.754109
146	1841.538012
147	1840.263571
148	1840.194535
149	1840.091902
150	1837.525111
151	1835.581972
152	1833.776516
153	1831.622376
154	1830.495227
155	1827.752662
156	1826.416314
157	1825.962857
158	1824.126604
159	1823.657059
160	1821.938561
161	1819.428942
162	1817.861627
163	1815.31208
164	1814.136466
165	1813.663044
166	1811.847148
167	1810.441968
168	1809.224353
169	1807.560579
170	1806.4201
171	1806.350762
172	1805.215337
173	1804.934113
174	1802.932072
175	1801.297009
176	1800.275746
177	1798.182219
178	1797.777387
179	1795.631888
180	1795.616215
181	1794.585776
182	1792.835047
183	1791.55267
184	1789.973425
185	1788.206612
186	1786.763756
187	1785.895554
188	1784.782947
189	1783.509694
190	1782.50716
191	1780.814067
192	1780.007629
193	1778.4809
194	1777.877787
195	1777.091358
196	1775.457711
197	1774.351635
198	1773.096884
199	1772.235213
